directLongitude,directLatitude,directFractionalCadence,directDoubleCadence,directRunCadence,directSpeed,directElevation,sumDistance,directHeartRate,directCorrectedElevation,directUncorrectedElevation,sumDuration,sumMovingDuration,sumElapsedDuration,directTimestamp,directVerticalSpeed,elapsed_s
106.89346960745752,-6.430645063519478,0.0,162.0,81.0,1.8660000562667847,84.19999694824219,73.55999755859375,124.0,84.19999694824219,90.19999694824219,40.0,32.0,40.0,1785884883000.0,-0.03200000151991844,40.0
106.8934685178101,-6.430688565596938,0.0,160.0,80.0,1.6979999542236328,84.19999694824219,78.23999786376953,128.0,84.19999694824219,90.19999694824219,43.0,35.0,43.0,1785884886000.0,-0.003000000026077032,43.0
106.89343566074967,-6.430721255019307,0.0,160.0,80.0,1.6979999542236328,84.0,83.12000274658203,131.0,84.0,90.0,46.0,38.0,46.0,1785884889000.0,-0.06199999898672104,46.0
106.8934254348278,-6.4307385217398405,0.0,160.0,80.0,1.6890000104904175,84.0,85.33000183105469,131.0,84.0,90.0,47.0,39.0,47.0,1785884890000.0,0.0,47.0
106.89336097799242,-6.430901633575559,0.0,160.0,80.0,1.7450000047683716,84.4000015258789,104.7699966430664,131.0,84.4000015258789,94.0,57.0,49.0,57.0,1785884900000.0,0.03400000184774399,57.0
106.89330867491663,-6.431022332981229,0.5,159.0,79.0,1.847000002861023,85.0,119.41000366210938,134.0,85.0,97.5999984741211,65.0,57.0,65.0,1785884908000.0,0.08500000089406967,65.0
106.8933046516031,-6.431037252768874,0.5,159.0,79.0,1.8569999933242798,85.19999694824219,121.12000274658203,134.0,85.19999694824219,97.80000305175781,66.0,58.0,66.0,1785884909000.0,0.09300000220537186,66.0
106.89326986670494,-6.4311405178159475,0.5,159.0,79.0,1.8380000591278076,85.80000305175781,133.16000366210938,137.0,85.80000305175781,97.19999694824219,73.0,65.0,73.0,1785884916000.0,0.08799999952316284,73.0
106.89325343817472,-6.431183852255344,0.0,158.0,79.0,1.8289999961853027,86.0,138.2899932861328,138.0,86.0,96.5999984741211,76.0,68.0,76.0,1785884919000.0,0.08399999886751175,76.0
106.89320767298341,-6.431327518075705,0.0,162.0,81.0,1.8289999961853027,86.80000305175781,155.00999450683594,139.0,86.80000305175781,95.19999694824219,85.0,77.0,85.0,1785884928000.0,0.09700000286102295,85.0
106.89314296469092,-6.431442014873028,0.0,160.0,80.0,1.8569999933242798,87.19999694824219,169.52999877929688,142.0,87.19999694824219,94.5999984741211,91.0,83.0,91.0,1785884934000.0,0.050999999046325684,91.0
106.89312603324652,-6.43147093243897,0.0,158.0,79.0,1.8660000562667847,87.19999694824219,173.24000549316406,142.0,87.19999694824219,94.80000305175781,93.0,85.0,93.0,1785884936000.0,0.061000000685453415,93.0
106.89309887588024,-6.4315601997077465,0.0,154.0,77.0,1.9129999876022339,87.4000015258789,183.52999877929688,141.0,87.4000015258789,97.5999984741211,99.0,91.0,99.0,1785884942000.0,0.032999999821186066,99.0
106.89307884313166,-6.431584423407912,0.5,153.0,76.0,1.8660000562667847,87.5999984741211,187.10000610351562,140.0,87.5999984741211,98.5999984741211,102.0,94.0,102.0,1785884945000.0,0.04800000041723251,102.0
106.89306953921914,-6.431622393429279,0.5,155.0,77.0,1.781999945640564,87.5999984741211,191.42999267578125,139.0,87.5999984741211,99.0,105.0,97.0,105.0,1785884948000.0,0.02199999988079071,105.0
106.89303115010262,-6.431687688454986,0.0,160.0,80.0,1.7259999513626099,87.5999984741211,199.80999755859375,136.0,87.5999984741211,99.19999694824219,110.0,102.0,110.0,1785884953000.0,-0.0020000000949949026,110.0
106.89300952479243,-6.431748121976852,0.0,160.0,80.0,1.6699999570846558,87.4000015258789,206.88999938964844,135.0,87.4000015258789,99.0,114.0,106.0,114.0,1785884957000.0,-0.07000000029802322,114.0
