sumElapsedDuration,directSpeed,directUncorrectedElevation,directTimestamp,sumDuration,directRunCadence,directCorrectedElevation,directLatitude,directDoubleCadence,directElevation,directLongitude,sumDistance,directFractionalCadence,directHeartRate,sumMovingDuration,directVerticalSpeed,elapsed_s
2128.0,1.3619999885559082,104.4000015258789,1787702556000.0,2128.0,73.0,83.0,-6.430271985009313,147.0,83.0,106.89342082478106,3464.179931640625,0.5,119.0,2128.0,-0.04600000008940697,2128.0
2135.0,1.371999979019165,104.0,1787702563000.0,2135.0,73.0,81.80000305175781,-6.43017022870481,147.0,81.80000305175781,106.89343490637839,3475.300048828125,0.5,119.0,2135.0,-0.1889999955892563,2135.0
2143.0,1.399999976158142,101.80000305175781,1787702571000.0,2143.0,75.0,80.4000015258789,-6.430067550390959,150.0,80.4000015258789,106.8934758938849,3487.7900390625,0.0,118.0,2143.0,-0.17299999296665192,2143.0
2150.0,1.437000036239624,100.5999984741211,1787702578000.0,2150.0,77.0,79.19999694824219,-6.429965039715171,154.0,79.19999694824219,106.89350279979408,3499.409912109375,0.0,119.0,2150.0,-0.17299999296665192,2150.0
2154.0,1.465000033378601,100.4000015258789,1787702582000.0,2154.0,74.0,79.0,-6.429921453818679,149.0,79.0,106.89351478591561,3504.2900390625,0.5,122.0,2154.0,-0.02800000086426735,2154.0
2157.0,1.4739999771118164,100.19999694824219,1787702585000.0,2157.0,74.0,78.80000305175781,-6.4298767782747746,149.0,78.80000305175781,106.89351839013398,3509.10009765625,0.5,123.0,2157.0,-0.04899999871850014,2157.0
2165.0,1.4930000305175781,100.0,1787702593000.0,2165.0,75.0,78.5999984741211,-6.4297769498080015,150.0,78.5999984741211,106.8935570307076,3520.909912109375,0.0,122.0,2165.0,-0.02800000086426735,2165.0
2172.0,1.5019999742507935,99.80000305175781,1787702600000.0,2172.0,73.0,78.5999984741211,-6.4296868443489075,147.0,78.5999984741211,106.89359030686319,3531.590087890625,0.5,123.0,2172.0,-0.013000000268220901,2172.0
2175.0,1.5019999742507935,99.80000305175781,1787702603000.0,2175.0,73.0,78.80000305175781,-6.429647030308843,147.0,78.80000305175781,106.8935934919864,3536.010009765625,0.5,124.0,2175.0,0.052000001072883606,2175.0
2178.0,1.5019999742507935,100.0,1787702606000.0,2178.0,72.0,78.80000305175781,-6.429607970640063,145.0,78.80000305175781,106.89357748255134,3540.639892578125,0.5,124.0,2178.0,0.02800000086426735,2178.0
2179.0,1.5119999647140503,100.19999694824219,1787702607000.0,2179.0,72.0,78.80000305175781,-6.429606210440397,145.0,78.80000305175781,106.89357614144683,3540.8798828125,0.5,124.0,2179.0,0.0020000000949949026,2179.0
2182.0,1.465000033378601,100.5999984741211,1787702610000.0,2182.0,0.0,79.0,-6.429568827152252,0.0,79.0,106.89357815310359,3545.06005859375,0.0,123.0,2182.0,0.04699999839067459,2182.0
